feature,type,shift_score_ks,train_mean,holdout_mean,train_median,holdout_median,train_missing_pct,holdout_missing_pct
loan_age,numeric,0.941768069172979,85.641365042634,134.17567673179397,85.0,129.0,1.4995447478770387,1.4962768042102905
pct_life_elapsed,numeric,0.667019868704154,0.3098112048258595,0.4540203008828906,0.2527777777777777,0.4055555555555555,1.4995447478770387,1.4962768042102905
remaining_months_to_maturity,numeric,0.6402566211403906,225.27834092109566,189.38608525754884,269.0,215.0,1.4995447478770387,1.4962768042102905
adjusted_months_to_maturity,numeric,0.49816720674007076,206.43905054967504,164.16689181788308,260.0,191.0,2.979888385806044,4.159201612451711
upb_pct_original,numeric,0.4585243848457634,0.739782616471301,0.6196395550216774,0.8492497619047619,0.7106539285714285,0.0,0.0
months_since_last_delinquency,numeric,0.15764880290130512,30.226751433557716,43.878826321209495,24.0,32.0,85.09374477389144,76.5540143329041
current_actual_upb,numeric,0.12009794574298799,131615.01781980688,107732.19321010163,108126.81,87213.25,0.0,0.0
max_delinquency_to_date,numeric,0.08539730440987348,0.39099034369986807,0.7922428755388836,0.0,0.0,0.0,0.0
ever_delinquent,numeric,0.08539730440987348,0.14906255226108556,0.23445985667095906,0.0,0.0,0.0,0.0
original_loan_term,numeric,0.05066839709319268,308.02306610756335,317.27416228094734,360.0,360.0,0.0,0.0
original_interest_rate,numeric,0.028936263201731482,4.955222732875397,4.983081098482729,4.875,4.875,0.0,0.0
current_interest_rate,numeric,0.025551788539748765,4.948831583117438,4.970187705357683,4.875,4.875,1.4995447478770387,1.488928391467443
original_upb,numeric,0.024243127794488117,173337.53693116712,168437.26555064105,146000.0,140000.0,0.0,0.0
borrower_credit_score,numeric,0.02287911573141993,755.3381433709537,753.2431872733325,766.0,763.0,0.11706483161865358,0.13682044678349478
number_of_borrowers,numeric,0.020690477248654138,1.5387893390482443,1.5178951346509153,2.0,2.0,0.0,0.0
co_borrower_credit_score,numeric,0.01998695452817606,762.3589411545103,760.9241659350307,773.0,771.0,46.90831160304492,48.983819494989085
delinquency_count_12m,numeric,0.01882020542262519,0.24313560319357816,0.33635434746094844,0.0,0.0,0.0,0.0
mi_percentage,numeric,0.017155024898345084,20.47200078732408,20.382179959325015,25.0,25.0,93.70637167154953,93.63382509377975
ever_modified,numeric,0.01202088845857896,0.01495828404016129,0.02697917249874027,0.0,0.0,0.0,0.0
current_modified,numeric,0.011850306412267031,0.014803436379290054,0.026653742791557022,0.0,0.0,0.0,0.0
first_payment_date,numeric,0.010286360404327066,71166.42103698381,70412.5450527686,82009.0,82009.0,0.0,0.0
dti_ratio,numeric,0.009780729602165764,34.45944694694695,34.75475957931688,34.0,34.0,0.9965995453672678,1.1155590392475225
original_ltv,numeric,0.009038267775783482,65.71648632075764,66.04089916578019,71.0,71.0,0.0,0.0
maturity_date,numeric,0.008902738219943696,73631.73029906682,73261.78892362345,82024.0,82024.0,1.4995447478770387,1.4962768042102905
origination_date,numeric,0.005559082739419741,76709.75332767623,76594.50697749286,82009.0,72009.0,0.0,0.0
number_of_units,numeric,0.0052312051933737225,1.0468507082732008,1.0543222663904597,1.0,1.0,0.0,0.0
original_cltv,numeric,0.004948150089137293,66.72154674231491,66.8972866860758,72.0,73.0,0.0,0.0
rate_spread,numeric,0.0048654938711610385,-0.006382712523580753,-0.013899744680148195,0.0,0.0,1.4995447478770387,1.488928391467443
